pruid,prename,report_date,numtotal_all_administered,as_of_date,updated,numdelta_all_administered,numavglast7_all_administered
61,Northwest Territories,4/1/2021,37655,3/27/2021,0,,322.5714286
62,Nunavut,4/1/2021,21012,4/1/2021,1,197,327.5714286
60,Yukon,4/1/2021,35470,4/1/2021,1,356,289.5714286
1,Canada,4/5/2021,6555389,4/5/2021,1,657944,308787.5714
24,Quebec,4/5/2021,1552215,4/4/2021,1,160566,75357.42857
35,Ontario,4/5/2021,2545640,4/4/2021,1,269327,124212.8571
59,British Columbia,4/5/2021,893590,4/5/2021,1,105341,44422.28571
48,Alberta,4/5/2021,707482,4/4/2021,1,54472,27890.57143
47,Saskatchewan,4/5/2021,221533,4/5/2021,1,20900,10003.71429
12,Nova Scotia,4/5/2021,113471,4/4/2021,1,6848,5962.571429
46,Manitoba,4/5/2021,210088,4/1/2021,1,19059,9079.857143
13,New Brunswick,4/5/2021,122229,4/3/2021,1,21431,7977.571429
10,Newfoundland and Labrador,4/5/2021,69851,3/30/2021,0,,2088.571429
11,Prince Edward Island,4/5/2021,25153,3/31/2021,0,,931.5714286
61,Northwest Territories,4/5/2021,37655,3/27/2021,0,,322.5714286
62,Nunavut,4/5/2021,21012,4/1/2021,0,,271.2857143
60,Yukon,4/5/2021,35470,4/1/2021,0,,266.7142857
1,Canada,4/6/2021,6760795,4/6/2021,1,205406,310977.8571
24,Quebec,4/6/2021,1592197,4/5/2021,1,39982,75196.28571
35,Ontario,4/6/2021,2621839,4/5/2021,1,76199,123749
59,British Columbia,4/6/2021,912056,4/6/2021,1,18466,43055
48,Alberta,4/6/2021,734403,4/5/2021,1,26921,28890.28571
47,Saskatchewan,4/6/2021,227471,4/6/2021,1,5938,10245.28571
12,Nova Scotia,4/6/2021,116436,4/5/2021,1,2965,5572.142857
46,Manitoba,4/6/2021,216718,4/5/2021,1,6630,9197
13,New Brunswick,4/6/2021,124122,4/4/2021,1,1893,7737.428571
10,Newfoundland and Labrador,4/6/2021,90575,4/5/2021,1,20724,5049.142857
11,Prince Edward Island,4/6/2021,27448,4/3/2021,1,2295,1027.142857
61,Northwest Territories,4/6/2021,38574,4/3/2021,1,919,453.8571429
62,Nunavut,4/6/2021,21763,4/6/2021,1,751,324.1428571
60,Yukon,4/6/2021,37193,4/6/2021,1,1723,481.1428571
1,Canada,4/7/2021,6991804,4/7/2021,1,231009,312981.8571
24,Quebec,4/7/2021,1636310,4/6/2021,1,44113,73478.85714
35,Ontario,4/7/2021,2726221,4/6/2021,1,104382,126804.1429
59,British Columbia,4/7/2021,946096,4/7/2021,1,34040,44034.28571
48,Alberta,4/7/2021,755831,4/6/2021,1,21428,28152.57143
47,Saskatchewan,4/7/2021,234209,4/7/2021,1,6738,10216.28571
12,Nova Scotia,4/7/2021,123166,4/6/2021,1,6730,5716.857143
46,Manitoba,4/7/2021,222130,4/6/2021,1,5412,9247.285714
13,New Brunswick,4/7/2021,129317,4/5/2021,1,5195,7622.142857
10,Newfoundland and Labrador,4/7/2021,92235,4/6/2021,1,1660,5286.285714
11,Prince Edward Island,4/7/2021,27448,4/3/2021,0,,1027.142857
61,Northwest Territories,4/7/2021,38574,4/3/2021,0,,453.8571429
62,Nunavut,4/7/2021,22298,4/7/2021,1,535,375.5714286
60,Yukon,4/7/2021,37969,4/7/2021,1,776,566.5714286
1,Canada,4/8/2021,7256598,4/8/2021,1,264794,279376.2857
24,Quebec,4/8/2021,1685046,4/7/2021,1,48736,60455.85714
35,Ontario,4/8/2021,2834784,4/7/2021,1,108563,114721.2857
59,British Columbia,4/8/2021,985001,4/8/2021,1,38905,40844.14286
48,Alberta,4/8/2021,779817,4/7/2021,1,23986,24540.71429
47,Saskatchewan,4/8/2021,244646,4/8/2021,1,10437,9263.714286
12,Nova Scotia,4/8/2021,129809,4/7/2021,1,6643,5802.142857
46,Manitoba,4/8/2021,234509,4/7/2021,1,12379,8708.714286
13,New Brunswick,4/8/2021,135802,4/6/2021,1,6485,6517.142857
10,Newfoundland and Labrador,4/8/2021,96273,4/7/2021,1,4038,5863.142857
11,Prince Edward Island,4/8/2021,30937,4/7/2021,1,3489,1525.571429
61,Northwest Territories,4/8/2021,38574,4/3/2021,0,,131.2857143
62,Nunavut,4/8/2021,22618,4/8/2021,1,320,373.8571429
60,Yukon,4/8/2021,38782,4/8/2021,1,813,628.7142857
1,Canada,4/9/2021,7569321,4/9/2021,1,312723,299776.7143
24,Quebec,4/9/2021,1754749,4/8/2021,1,69703,64129.85714
35,Ontario,4/9/2021,2940166,4/8/2021,1,105382,119683.7143
59,British Columbia,4/9/2021,1025019,4/9/2021,1,40018,42975.14286
48,Alberta,4/9/2021,818689,4/8/2021,1,38872,28382.85714
47,Saskatchewan,4/9/2021,256280,4/9/2021,1,11634,10263.42857
12,Nova Scotia,4/9/2021,138348,4/8/2021,1,8539,6282.142857
46,Manitoba,4/9/2021,259847,4/8/2021,1,25338,11652.28571
13,New Brunswick,4/9/2021,142858,4/7/2021,1,7056,7354.428571
10,Newfoundland and Labrador,4/9/2021,101302,4/8/2021,1,5029,6581.571429
11,Prince Edward Island,4/9/2021,30937,4/7/2021,0,,1317.857143
61,Northwest Territories,4/9/2021,38574,4/3/2021,0,,131.2857143
62,Nunavut,4/9/2021,22865,4/9/2021,1,247,328
60,Yukon,4/9/2021,39687,4/9/2021,1,905,694.1428571
1,Canada,4/12/2021,8330898,4/12/2021,1,761577,377216.8571
24,Quebec,4/12/2021,1944877,4/11/2021,1,190128,85078.71429
35,Ontario,4/12/2021,3214465,4/11/2021,1,274299,146030.2857
59,British Columbia,4/12/2021,1112101,4/12/2021,1,87082,50860.14286
48,Alberta,4/12/2021,932258,4/11/2021,1,113569,42465.85714
47,Saskatchewan,4/12/2021,290921,4/12/2021,1,34641,13999.14286
12,Nova Scotia,4/12/2021,150123,4/11/2021,1,11775,7041.571429
46,Manitoba,4/12/2021,284643,4/11/2021,1,24796,14440
13,New Brunswick,4/12/2021,152265,4/10/2021,1,9407,8144.285714
10,Newfoundland and Labrador,4/12/2021,112377,4/11/2021,1,11075,6075.142857
11,Prince Edward Island,4/12/2021,30937,4/7/2021,0,,1317.857143
61,Northwest Territories,4/12/2021,41217,4/10/2021,1,2643,508.8571429
62,Nunavut,4/12/2021,23196,4/12/2021,1,331,340.1428571
60,Yukon,4/12/2021,41518,4/12/2021,1,1831,914.8571429
1,Canada,4/13/2021,8601331,4/13/2021,1,270433,386269.4286
24,Quebec,4/13/2021,2005106,4/12/2021,1,60229,87636.71429
35,Ontario,4/13/2021,3310157,4/12/2021,1,95692,147692
59,British Columbia,4/13/2021,1148993,4/13/2021,1,36892,51534.85714
48,Alberta,4/13/2021,970272,4/12/2021,1,38014,45323.14286
47,Saskatchewan,4/13/2021,298767,4/13/2021,1,7846,14019.14286
12,Nova Scotia,4/13/2021,157590,4/12/2021,1,7467,7281
46,Manitoba,4/13/2021,291152,4/12/2021,1,6509,14303.28571
13,New Brunswick,4/13/2021,161663,4/11/2021,1,9398,8695
10,Newfoundland and Labrador,4/13/2021,115398,4/12/2021,1,3021,6506.714286
11,Prince Edward Island,4/13/2021,35093,4/10/2021,1,4156,1420
61,Northwest Territories,4/13/2021,41217,4/10/2021,0,,508.8571429
62,Nunavut,4/13/2021,23569,4/13/2021,1,373,365.2857143
60,Yukon,4/13/2021,42354,4/13/2021,1,836,983.4285714
1,Canada,4/14/2021,8898865,4/14/2021,1,297534,334782.2857
24,Quebec,4/14/2021,2075808,4/13/2021,1,70702,74799
35,Ontario,4/14/2021,3422974,4/13/2021,1,112817,125333.4286
59,British Columbia,4/14/2021,1190832,4/14/2021,1,41839,42463.14286
48,Alberta,4/14/2021,1004123,4/13/2021,1,33851,42377.28571
47,Saskatchewan,4/14/2021,307449,4/14/2021,1,8682,12273.71429
12,Nova Scotia,4/14/2021,169851,4/13/2021,1,12261,8054.285714
46,Manitoba,4/14/2021,299821,4/13/2021,1,8669,12819
13,New Brunswick,4/14/2021,167147,4/12/2021,1,5484,6416.857143
10,Newfoundland and Labrador,4/14/2021,117801,4/13/2021,1,2403,6850
11,Prince Edward Island,4/14/2021,35093,4/10/2021,0,,1420
61,Northwest Territories,4/14/2021,41217,4/10/2021,0,,508.8571429
62,Nunavut,4/14/2021,23892,4/14/2021,1,323,411.4285714
60,Yukon,4/14/2021,42857,4/14/2021,1,503,1055.285714
1,Canada,4/15/2021,9205307,4/15/2021,1,306442,349216
24,Quebec,4/15/2021,2145925,4/14/2021,1,70117,79104
35,Ontario,4/15/2021,3528404,4/14/2021,1,105430,129509.2857
59,British Columbia,4/15/2021,1235863,4/15/2021,1,45031,46258.14286
48,Alberta,4/15/2021,1043570,4/14/2021,1,39447,44166.71429
47,Saskatchewan,4/15/2021,315405,4/15/2021,1,7956,12562
12,Nova Scotia,4/15/2021,182867,4/14/2021,1,13016,9490.142857
46,Manitoba,4/15/2021,308576,4/14/2021,1,8755,13122.57143
13,New Brunswick,4/15/2021,174234,4/13/2021,1,7087,7158.857143
10,Newfoundland and Labrador,4/15/2021,122249,4/14/2021,1,4448,4524.857143
11,Prince Edward Island,4/15/2021,39504,4/14/2021,1,4411,1722.285714
61,Northwest Territories,4/15/2021,41217,4/10/2021,0,,377.5714286
62,Nunavut,4/15/2021,24065,4/15/2021,1,173,328.8571429
60,Yukon,4/15/2021,43428,4/15/2021,1,571,890.7142857
1,Canada,4/16/2021,9525732,4/16/2021,1,320425,361989.7143
24,Quebec,4/16/2021,2223775,4/15/2021,1,77850,83923.57143
35,Ontario,4/16/2021,3644038,4/15/2021,1,115634,131116.7143
59,British Columbia,4/16/2021,1282091,4/16/2021,1,46228,47999.28571
48,Alberta,4/16/2021,1082391,4/15/2021,1,38821,46651.42857
47,Saskatchewan,4/16/2021,323573,4/16/2021,1,8168,12766.28571
12,Nova Scotia,4/16/2021,194792,4/15/2021,1,11925,10232.28571
46,Manitoba,4/16/2021,317830,4/15/2021,1,9254,13671.42857
13,New Brunswick,4/16/2021,182524,4/14/2021,1,8290,7601
10,Newfoundland and Labrador,4/16/2021,125482,4/15/2021,1,3233,4749.571429
11,Prince Edward Island,4/16/2021,39504,4/14/2021,0,,1722.285714
61,Northwest Territories,4/16/2021,41217,4/10/2021,0,,377.5714286
62,Nunavut,4/16/2021,24469,4/16/2021,1,404,310.1428571
60,Yukon,4/16/2021,44046,4/16/2021,1,618,868.1428571
1,Canada,4/17/2021,9779909,4/17/2021,1,254177,360473
24,Quebec,4/17/2021,2297411,4/16/2021,1,73636,87480.71429
35,Ontario,4/17/2021,3751316,4/16/2021,1,107278,130933.1429
59,British Columbia,4/17/2021,1282091,4/16/2021,0,,42441.42857
48,Alberta,4/17/2021,1121901,4/16/2021,1,39510,48869.14286
47,Saskatchewan,4/17/2021,334063,4/17/2021,1,10490,12773.85714
12,Nova Scotia,4/17/2021,194792,4/15/2021,0,,9283.285714
46,Manitoba,4/17/2021,328515,4/16/2021,1,10685,13429.42857
13,New Brunswick,4/17/2021,190460,4/15/2021,1,7936,7808.285714
10,Newfoundland and Labrador,4/17/2021,130124,4/16/2021,1,4642,4835.857143
11,Prince Edward Island,4/17/2021,39504,4/14/2021,0,,1223.857143
61,Northwest Territories,4/17/2021,41217,4/10/2021,0,,377.5714286
62,Nunavut,4/17/2021,24469,4/16/2021,0,,264.4285714
60,Yukon,4/17/2021,44046,4/16/2021,0,,752
1,Canada,4/18/2021,9980626,4/18/2021,1,200717,344472.1429
24,Quebec,4/18/2021,2358757,4/17/2021,1,61346,86286.85714
35,Ontario,4/18/2021,3837881,4/17/2021,1,86565,128245
59,British Columbia,4/18/2021,1282091,4/16/2021,0,,36724.57143
48,Alberta,4/18/2021,1147048,4/17/2021,1,25147,46908.42857
47,Saskatchewan,4/18/2021,345126,4/18/2021,1,11063,12692.28571
12,Nova Scotia,4/18/2021,194792,4/15/2021,0,,8063.428571
46,Manitoba,4/18/2021,336138,4/17/2021,1,7623,10898.71429
13,New Brunswick,4/18/2021,197092,4/16/2021,1,6632,7747.714286
10,Newfoundland and Labrador,4/18/2021,132465,4/17/2021,1,2341,4451.857143
11,Prince Edward Island,4/18/2021,39504,4/14/2021,0,,1223.857143
61,Northwest Territories,4/18/2021,41217,4/10/2021,0,,377.5714286
62,Nunavut,4/18/2021,24469,4/16/2021,0,,229.1428571
60,Yukon,4/18/2021,44046,4/16/2021,0,,622.7142857
1,Canada,4/19/2021,10243418,4/19/2021,1,262792,273217.1429
24,Quebec,4/19/2021,2399934,4/18/2021,1,41177,65008.14286
35,Ontario,4/19/2021,3904778,4/18/2021,1,66897,98616.14286
59,British Columbia,4/19/2021,1380160,4/19/2021,1,98069,38294.14286
48,Alberta,4/19/2021,1165223,4/18/2021,1,18175,33280.71429
47,Saskatchewan,4/19/2021,352169,4/19/2021,1,7043,8749.714286
12,Nova Scotia,4/19/2021,207563,4/18/2021,1,12771,8205.714286
46,Manitoba,4/19/2021,341926,4/18/2021,1,5788,8183.285714
13,New Brunswick,4/19/2021,200587,4/17/2021,1,3495,6903.142857
10,Newfoundland and Labrador,4/19/2021,136349,4/18/2021,1,3884,3424.571429
11,Prince Edward Island,4/19/2021,39504,4/14/2021,0,,1223.857143
61,Northwest Territories,4/19/2021,44646,4/17/2021,1,3429,489.8571429
62,Nunavut,4/19/2021,25188,4/19/2021,1,719,284.5714286
60,Yukon,4/19/2021,45391,4/19/2021,1,1345,553.2857143
1,Canada,4/20/2021,10481418,4/20/2021,1,238000,268583.8571
24,Quebec,4/20/2021,2448409,4/19/2021,1,48475,63329
35,Ontario,4/20/2021,3995187,4/19/2021,1,90409,97861.42857
59,British Columbia,4/20/2021,1414644,4/20/2021,1,34484,37950.14286
48,Alberta,4/20/2021,1196428,4/19/2021,1,31205,32308
47,Saskatchewan,4/20/2021,357447,4/20/2021,1,5278,8382.857143
12,Nova Scotia,4/20/2021,216018,4/19/2021,1,8455,8346.857143
46,Manitoba,4/20/2021,350977,4/19/2021,1,9051,8546.428571
13,New Brunswick,4/20/2021,204576,4/18/2021,1,3989,6130.428571
10,Newfoundland and Labrador,4/20/2021,138422,4/19/2021,1,2073,3289.142857
11,Prince Edward Island,4/20/2021,43018,4/17/2021,1,3514,1132.142857
61,Northwest Territories,4/20/2021,44646,4/17/2021,0,,489.8571429
62,Nunavut,4/20/2021,25675,4/20/2021,1,487,300.8571429
60,Yukon,4/20/2021,45971,4/20/2021,1,580,516.7142857
1,Canada,4/21/2021,10798150,4/21/2021,1,316732,271326.4286
24,Quebec,4/21/2021,2503910,4/20/2021,1,55501,61157.42857
35,Ontario,4/21/2021,4131882,4/20/2021,1,136695,101272.5714
59,British Columbia,4/21/2021,1456946,4/21/2021,1,42302,38016.28571
48,Alberta,4/21/2021,1232925,4/20/2021,1,36497,32686
47,Saskatchewan,4/21/2021,365001,4/21/2021,1,7554,8221.714286
12,Nova Scotia,4/21/2021,230801,4/20/2021,1,14783,8707.142857
46,Manitoba,4/21/2021,364389,4/20/2021,1,13412,9224
13,New Brunswick,4/21/2021,211130,4/19/2021,1,6554,6283.285714
10,Newfoundland and Labrador,4/21/2021,141034,4/20/2021,1,2612,3319
11,Prince Edward Island,4/21/2021,43018,4/17/2021,0,,1132.142857
61,Northwest Territories,4/21/2021,44646,4/17/2021,0,,489.8571429
62,Nunavut,4/21/2021,26164,4/21/2021,1,489,324.5714286
60,Yukon,4/21/2021,46304,4/21/2021,1,333,492.4285714
1,Canada,4/22/2021,11158636,4/22/2021,1,360486,279047
24,Quebec,4/22/2021,2589682,4/21/2021,1,85772,63393.85714
35,Ontario,4/22/2021,4266802,4/21/2021,1,134920,105485.4286
59,British Columbia,4/22/2021,1500430,4/22/2021,1,43484,37795.28571
48,Alberta,4/22/2021,1275287,4/21/2021,1,42362,33102.42857
47,Saskatchewan,4/22/2021,372334,4/22/2021,1,7333,8132.714286
12,Nova Scotia,4/22/2021,247312,4/21/2021,1,16511,9206.428571
46,Manitoba,4/22/2021,378914,4/21/2021,1,14525,10048.28571
13,New Brunswick,4/22/2021,218939,4/20/2021,1,7809,6386.428571
10,Newfoundland and Labrador,4/22/2021,144847,4/21/2021,1,3813,3228.285714
11,Prince Edward Island,4/22/2021,46278,4/21/2021,1,3260,967.7142857
61,Northwest Territories,4/22/2021,44646,4/17/2021,0,,489.8571429
62,Nunavut,4/22/2021,26572,4/22/2021,1,408,358.1428571
60,Yukon,4/22/2021,46593,4/22/2021,1,289,452.1428571
1,Canada,4/23/2021,11526938,4/23/2021,1,368302,285886.5714
24,Quebec,4/23/2021,2679907,4/22/2021,1,90225,65161.71429
35,Ontario,4/23/2021,4400674,4/22/2021,1,133872,108090.8571
59,British Columbia,4/23/2021,1542066,4/23/2021,1,41636,37139.28571
48,Alberta,4/23/2021,1319837,4/22/2021,1,44550,33920.85714
47,Saskatchewan,4/23/2021,382135,4/23/2021,1,9801,8366
12,Nova Scotia,4/23/2021,260788,4/22/2021,1,13476,9428
46,Manitoba,4/23/2021,398302,4/22/2021,1,19388,11496
13,New Brunswick,4/23/2021,228004,4/21/2021,1,9065,6497.142857
10,Newfoundland and Labrador,4/23/2021,150624,4/22/2021,1,5777,3591.714286
11,Prince Edward Island,4/23/2021,46278,4/21/2021,0,,967.7142857
61,Northwest Territories,4/23/2021,44646,4/17/2021,0,,489.8571429
62,Nunavut,4/23/2021,26855,4/23/2021,1,283,340.8571429
60,Yukon,4/23/2021,46822,4/23/2021,1,229,396.5714286
1,Canada,4/24/2021,11813201,4/24/2021,1,286263,290470.2857
24,Quebec,4/24/2021,2763535,4/23/2021,1,83628,66589.14286
35,Ontario,4/24/2021,4527368,4/23/2021,1,126694,110864.5714
59,British Columbia,4/24/2021,1542066,4/23/2021,0,,37139.28571
48,Alberta,4/24/2021,1361365,4/23/2021,1,41528,34209.14286
47,Saskatchewan,4/24/2021,392294,4/24/2021,1,10159,8318.714286
12,Nova Scotia,4/24/2021,260788,4/22/2021,0,,9428
46,Manitoba,4/24/2021,413607,4/23/2021,1,15305,12156
13,New Brunswick,4/24/2021,236953,4/22/2021,1,8949,6641.857143
10,Newfoundland and Labrador,4/24/2021,150624,4/22/2021,0,,2928.571429
11,Prince Edward Island,4/24/2021,46278,4/21/2021,0,,967.7142857
61,Northwest Territories,4/24/2021,44646,4/17/2021,0,,489.8571429
62,Nunavut,4/24/2021,26855,4/23/2021,0,,340.8571429
60,Yukon,4/24/2021,46822,4/23/2021,0,,396.5714286
1,Canada,4/25/2021,12045041,4/25/2021,1,231840,294916.4286
24,Quebec,4/25/2021,2828484,4/24/2021,1,64949,67103.85714
35,Ontario,4/25/2021,4626903,4/24/2021,1,99535,112717.4286
59,British Columbia,4/25/2021,1542066,4/23/2021,0,,37139.28571
48,Alberta,4/25/2021,1398673,4/24/2021,1,37308,35946.42857
47,Saskatchewan,4/25/2021,399745,4/25/2021,1,7451,7802.714286
12,Nova Scotia,4/25/2021,260788,4/22/2021,0,,9428
46,Manitoba,4/25/2021,424251,4/24/2021,1,10644,12587.57143
13,New Brunswick,4/25/2021,242412,4/23/2021,1,5459,6474.285714
10,Newfoundland and Labrador,4/25/2021,157118,4/24/2021,1,6494,3521.857143
11,Prince Edward Island,4/25/2021,46278,4/21/2021,0,,967.7142857
61,Northwest Territories,4/25/2021,44646,4/17/2021,0,,489.8571429
62,Nunavut,4/25/2021,26855,4/23/2021,0,,340.8571429
60,Yukon,4/25/2021,46822,4/23/2021,0,,396.5714286
1,Canada,4/26/2021,12307785,4/26/2021,1,262744,294909.5714
24,Quebec,4/26/2021,2871140,4/25/2021,1,42656,67315.14286
35,Ontario,4/26/2021,4696211,4/25/2021,1,69308,113061.8571
59,British Columbia,4/26/2021,1635372,4/26/2021,1,93306,36458.85714
48,Alberta,4/26/2021,1419188,4/25/2021,1,20515,36280.71429
47,Saskatchewan,4/26/2021,403384,4/26/2021,1,3639,7316.428571
12,Nova Scotia,4/26/2021,276075,4/25/2021,1,15287,9787.428571
46,Manitoba,4/26/2021,429319,4/25/2021,1,5068,12484.71429
13,New Brunswick,4/26/2021,244473,4/24/2021,1,2061,6269.428571
10,Newfoundland and Labrador,4/26/2021,164784,4/25/2021,1,7666,4062.142857
11,Prince Edward Island,4/26/2021,46278,4/21/2021,0,,967.7142857
61,Northwest Territories,4/26/2021,46800,4/24/2021,1,2154,307.7142857
62,Nunavut,4/26/2021,27344,4/26/2021,1,489,308
60,Yukon,4/26/2021,47417,4/26/2021,1,595,289.4285714
1,Canada,4/27/2021,12564105,4/27/2021,1,256320,297526.7143
24,Quebec,4/27/2021,2916897,4/26/2021,1,45757,66926.85714
35,Ontario,4/27/2021,4791030,4/26/2021,1,94819,113691.8571
59,British Columbia,4/27/2021,1671128,4/27/2021,1,35756,36640.57143
48,Alberta,4/27/2021,1468785,4/26/2021,1,49597,38908.14286
47,Saskatchewan,4/27/2021,408429,4/27/2021,1,5045,7283.142857
12,Nova Scotia,4/27/2021,283591,4/26/2021,1,7516,9653.285714
46,Manitoba,4/27/2021,437831,4/26/2021,1,8512,12407.71429
13,New Brunswick,4/27/2021,248564,4/25/2021,1,4091,6284
10,Newfoundland and Labrador,4/27/2021,166047,4/26/2021,1,1263,3946.428571
11,Prince Edward Island,4/27/2021,49896,4/24/2021,1,3618,982.5714286
61,Northwest Territories,4/27/2021,46800,4/24/2021,0,,307.7142857
62,Nunavut,4/27/2021,27344,4/26/2021,0,,238.4285714
60,Yukon,4/27/2021,47763,4/27/2021,1,346,256
1,Canada,4/28/2021,12826266,4/28/2021,1,262161,289730.8571
24,Quebec,4/28/2021,2967209,4/27/2021,1,50312,66185.57143
35,Ontario,4/28/2021,4907203,4/27/2021,1,116173,110760.1429
59,British Columbia,4/28/2021,1705409,4/28/2021,1,34281,35494.71429
48,Alberta,4/28/2021,1497256,4/27/2021,1,28471,37761.57143
47,Saskatchewan,4/28/2021,415763,4/28/2021,1,7334,7251.714286
12,Nova Scotia,4/28/2021,293763,4/27/2021,1,10172,8994.571429
46,Manitoba,4/28/2021,447031,4/27/2021,1,9200,11806
13,New Brunswick,4/28/2021,252879,4/26/2021,1,4315,5964.142857
10,Newfoundland and Labrador,4/28/2021,167302,4/27/2021,1,1255,3752.571429
11,Prince Edward Island,4/28/2021,49896,4/24/2021,0,,982.5714286
61,Northwest Territories,4/28/2021,46800,4/24/2021,0,,307.7142857
62,Nunavut,4/28/2021,27813,4/26/2021,0,,168.5714286
60,Yukon,4/28/2021,47942,4/28/2021,1,179,234
1,Canada,4/29/2021,13131871,4/29/2021,1,305605,281890.7143
24,Quebec,4/29/2021,3039512,4/28/2021,1,72303,64261.42857
35,Ontario,4/29/2021,5027770,4/28/2021,1,120567,108709.7143
59,British Columbia,4/29/2021,1749375,4/29/2021,1,43966,35563.57143
48,Alberta,4/29/2021,1528569,4/28/2021,1,31313,36183.14286
47,Saskatchewan,4/29/2021,421981,4/29/2021,1,6218,7092.428571
12,Nova Scotia,4/29/2021,304187,4/28/2021,1,10424,8125
46,Manitoba,4/29/2021,457147,4/28/2021,1,10116,11176.14286
13,New Brunswick,4/29/2021,257057,4/27/2021,1,4178,5445.428571
10,Newfoundland and Labrador,4/29/2021,170078,4/28/2021,1,2776,3604.428571
11,Prince Edward Island,4/29/2021,53202,4/28/2021,1,3306,989.1428571
61,Northwest Territories,4/29/2021,46800,4/24/2021,0,,307.7142857
62,Nunavut,4/29/2021,28062,4/29/2021,1,718,212.8571429
60,Yukon,4/29/2021,48131,4/29/2021,1,189,219.7142857
1,Canada,4/30/2021,13420198,4/30/2021,1,288327,270465.7143
24,Quebec,4/30/2021,3104026,4/29/2021,1,64514,60588.42857
35,Ontario,4/30/2021,5139984,4/29/2021,1,112214,105615.7143
59,British Columbia,4/30/2021,1786772,4/30/2021,1,37397,34958
48,Alberta,4/30/2021,1562713,4/29/2021,1,34144,34696.57143
47,Saskatchewan,4/30/2021,427739,4/30/2021,1,5758,6514.857143
12,Nova Scotia,4/30/2021,312493,4/29/2021,1,8306,7386.428571
46,Manitoba,4/30/2021,474345,4/29/2021,1,17198,10863.28571
13,New Brunswick,4/30/2021,262139,4/28/2021,1,5082,4876.428571
10,Newfoundland and Labrador,4/30/2021,173427,4/29/2021,1,3349,3257.571429
11,Prince Edward Island,4/30/2021,53202,4/28/2021,0,,989.1428571
61,Northwest Territories,4/30/2021,46800,4/24/2021,0,,307.7142857
62,Nunavut,4/30/2021,28251,4/30/2021,1,189,199.4285714
60,Yukon,4/30/2021,48307,4/30/2021,1,176,212.1428571
1,Canada,5/1/2021,13652375,5/1/2021,1,232177,262739.1429
24,Quebec,5/1/2021,3167659,4/30/2021,1,63633,57732
35,Ontario,5/1/2021,5247684,4/30/2021,1,107700,102902.2857
59,British Columbia,5/1/2021,1786772,4/30/2021,0,,34958
48,Alberta,5/1/2021,1597666,4/30/2021,1,34953,33757.28571
47,Saskatchewan,5/1/2021,435142,5/1/2021,1,7403,6121.142857
12,Nova Scotia,5/1/2021,312493,4/29/2021,0,,7386.428571
46,Manitoba,5/1/2021,483347,4/30/2021,1,9002,9962.857143
13,New Brunswick,5/1/2021,267662,4/29/2021,1,5523,4387
10,Newfoundland and Labrador,5/1/2021,177390,4/30/2021,1,3963,3823.714286
11,Prince Edward Island,5/1/2021,53202,4/28/2021,0,,989.1428571
61,Northwest Territories,5/1/2021,46800,4/24/2021,0,,307.7142857
62,Nunavut,5/1/2021,28251,4/30/2021,0,,199.4285714
60,Yukon,5/1/2021,48307,4/30/2021,0,,212.1428571
1,Canada,5/2/2021,13825476,5/2/2021,1,173101,254347.8571
24,Quebec,5/2/2021,3218214,5/1/2021,1,50555,55675.71429
35,Ontario,5/2/2021,5324369,5/1/2021,1,76685,99638
59,British Columbia,5/2/2021,1786772,4/30/2021,0,,34958
48,Alberta,5/2/2021,1621306,5/1/2021,1,23640,31804.71429
47,Saskatchewan,5/2/2021,443669,5/2/2021,1,8527,6274.857143
12,Nova Scotia,5/2/2021,312493,4/29/2021,0,,7386.428571
46,Manitoba,5/2/2021,491297,5/1/2021,1,7950,9578
13,New Brunswick,5/2/2021,270490,4/30/2021,1,2828,4011.142857
10,Newfoundland and Labrador,5/2/2021,180306,5/1/2021,1,2916,3312.571429
11,Prince Edward Island,5/2/2021,53202,4/28/2021,0,,989.1428571
61,Northwest Territories,5/2/2021,46800,4/24/2021,0,,307.7142857
62,Nunavut,5/2/2021,28251,4/30/2021,0,,199.4285714
60,Yukon,5/2/2021,48307,4/30/2021,0,,212.1428571
1,Canada,5/3/2021,14051490,5/3/2021,1,226014,249100.7143
24,Quebec,5/3/2021,3256401,5/2/2021,1,38187,55037.28571
35,Ontario,5/3/2021,5378249,5/2/2021,1,53880,97434
59,British Columbia,5/3/2021,1877330,5/3/2021,1,90558,34565.42857
48,Alberta,5/3/2021,1640303,5/2/2021,1,18997,31587.85714
47,Saskatchewan,5/3/2021,450823,5/3/2021,1,7154,6777
12,Nova Scotia,5/3/2021,320910,5/2/2021,1,8417,6405
46,Manitoba,5/3/2021,495482,5/2/2021,1,4185,9451.857143
13,New Brunswick,5/3/2021,271891,5/1/2021,1,1401,3916.857143
10,Newfoundland and Labrador,5/3/2021,181653,5/2/2021,1,1347,2409.857143
11,Prince Edward Island,5/3/2021,53202,4/28/2021,0,,989.1428571
61,Northwest Territories,5/3/2021,48007,5/1/2021,1,1207,172.4285714
62,Nunavut,5/3/2021,28584,5/3/2021,1,333,177.1428571
60,Yukon,5/3/2021,48655,5/3/2021,1,348,176.8571429
1,Canada,5/4/2021,14284234,5/4/2021,1,232744,245732.7143
24,Quebec,5/4/2021,3308542,5/3/2021,1,52141,55949.28571
35,Ontario,5/4/2021,5467120,5/3/2021,1,88871,96584.28571
59,British Columbia,5/4/2021,1910162,5/4/2021,1,32832,34147.71429
